
# Surface 0 of 1 surfaces

# Curve title: ""o_argB_all""
# IsoCurve 0, 401 points
# x y z type
 200  32  0.333497 i
 200  33  0.341122 i
 200  34  0.348652 i
 200  35  0.356094 i
 200  36  0.363452 i
 200  37  0.370732 i
 200  38  0.37794 i
 200  39  0.385081 i
 200  40  0.39216 i
 200  41  0.399181 i
 200  42  0.406148 i
 200  43  0.413067 i
 200  44  0.41994 i
 200  45  0.426771 i
 200  46  0.433565 i
 200  47  0.440324 i
 200  48  0.447053 i
 200  49  0.453753 i
 200  50  0.460428 i
 200  51  0.46708 i
 200  52  0.473713 i
 200  53  0.480328 i
 200  54  0.486927 i
 200  55  0.493514 i
 200  56  0.500091 i
 200  57  0.506658 i
 200  58  0.513217 i
 200  59  0.519771 i
 200  60  0.52632 i
 200  61  0.532867 i
 200  62  0.539412 i
 200  63  0.545955 i
 200  64  0.552499 i
 200  65  0.559044 i
 200  66  0.565591 i
 200  67  0.572141 i
 200  68  0.578692 i
 200  69  0.585247 i
 200  70  0.591806 i
 200  71  0.598368 i
 200  72  0.604934 i
 200  73  0.611503 i
 200  74  0.618076 i
 200  75  0.624652 i
 200  76  0.631231 i
 200  77  0.637812 i
 200  78  0.644396 i
 200  79  0.65098 i
 200  80  0.657566 i
 200  81  0.664152 i
 200  82  0.670737 i
 200  83  0.677321 i
 200  84  0.683903 i
 200  85  0.690482 i
 200  86  0.697057 i
 200  87  0.703628 i
 200  88  0.710192 i
 200  89  0.71675 i
 200  90  0.723299 i
 200  91  0.72984 i
 200  92  0.736371 i
 200  93  0.742891 i
 200  94  0.749399 i
 200  95  0.755894 i
 200  96  0.762375 i
 200  97  0.768841 i
 200  98  0.77529 i
 200  99  0.781723 i
 200  100  0.788137 i
 200  101  0.794533 i
 200  102  0.800908 i
 200  103  0.807263 i
 200  104  0.813595 i
 200  105  0.819905 i
 200  106  0.826191 i
 200  107  0.832452 i
 200  108  0.838689 i
 200  109  0.844899 i
 200  110  0.851083 i
 200  111  0.857239 i
 200  112  0.863367 i
 200  113  0.869467 i
 200  114  0.875536 i
 200  115  0.881576 i
 200  116  0.887585 i
 200  117  0.893563 i
 200  118  0.899509 i
 200  119  0.905423 i
 200  120  0.911304 i
 200  121  0.917152 i
 200  122  0.922967 i
 200  123  0.928748 i
 200  124  0.934495 i
 200  125  0.940208 i
 200  126  0.945885 i
 200  127  0.951528 i
 200  128  0.957135 i
 200  129  0.962707 i
 200  130  0.968243 i
 200  131  0.973743 i
 200  132  0.979207 i
 200  133  0.984635 i
 200  134  0.990026 i
 200  135  0.995381 i
 200  136 -0.999301 i
 200  137 -0.994019 i
 200  138 -0.988774 i
 200  139 -0.983566 i
 200  140 -0.978394 i
 200  141 -0.973259 i
 200  142 -0.968161 i
 200  143 -0.9631 i
 200  144 -0.958075 i
 200  145 -0.953086 i
 200  146 -0.948135 i
 200  147 -0.943219 i
 200  148 -0.93834 i
 200  149 -0.933497 i
 200  150 -0.92869 i
 200  151 -0.923919 i
 200  152 -0.919183 i
 200  153 -0.914484 i
 200  154 -0.909819 i
 200  155 -0.905191 i
 200  156 -0.900597 i
